
**********************************
----------------------------------
             Secuencial           
----------------------------------
**********************************
----------------------------------
         img1 720p                
----------------------------------
Kernel		Time
3 	0.120
5 	0.106
7 	0.090
9 	0.097
11 	0.097
13 	0.079
15 	0.107
----------------------------------
          img2 1080p              
----------------------------------
Kernel		Time
3 	0.088
5 	0.060
7 	0.064
9 	0.092
11 	0.068
13 	0.096
15 	0.107
----------------------------------
          img3 4k                 
----------------------------------
Kernel		Time
3 	0.099
5 	0.096
7 	0.079
9 	0.108
11 	0.092
13 	0.081
15 	0.072

**********************************
----------------------------------
          Paralelizado            
----------------------------------
**********************************
----------------------------------
          img1 720p               
----------------------------------
Kernel		Blocks		Threads		Time
9 			3 			256 		1.079
9 			3 			384 		1.147
9 			3 			512 		1.106
9 			3 			640 		1.160
9 			3 			768 		1.128
9 			3 			896 		1.136
9 			3 			1024 		1.216
9 			4 			128 		1.305
9 			4 			256 		1.187
9 			4 			384 		1.139
9 			4 			512 		1.169
9 			4 			640 		1.204
9 			4 			768 		1.144
9 			4 			896 		1.116
9 			4 			1024 		1.170
11 			1 			128 		4.144
11 			1 			256 		2.429
11 			1 			384 		2.113
11 			1 			512 		2.066
11 			1 			640 		1.664
11 			1 			768 		1.478
11 			1 			896 		1.455
11 			1 			1024 		1.495
11 			2 			128 		2.568
11 			2 			256 		1.618
11 			2 			384 		1.312
11 			2 			512 		1.344
11 			2 			640 		1.350
11 			2 			768 		1.270
11 			2 			896 		1.284
11 			2 			1024 		1.359
11 			3 			128 		1.828
11 			3 			256 		1.306
11 			3 			384 		1.437
11 			3 			512 		1.354
11 			3 			640 		1.435
11 			3 			768 		1.371
11 			3 			896 		1.350
11 			3 			1024 		1.351
11 			4 			128 		1.495
11 			4 			256 		1.380
11 			4 			384 		1.366
11 			4 			512 		1.385
11 			4 			640 		1.448
11 			4 			768 		1.304
11 			4 			896 		1.385
11 			4 			1024 		1.351
13 			1 			128 		5.528
13 			1 			256 		3.122
13 			1 			384 		2.318
13 			1 			512 		1.895
13 			1 			640 		1.677
13 			1 			768 		1.599
13 			1 			896 		1.528
13 			1 			1024 		1.565
13 			2 			128 		3.091
13 			2 			256 		1.902
13 			2 			384 		1.624
13 			2 			512 		1.677
13 			2 			640 		1.713
13 			2 			768 		1.597
13 			2 			896 		1.555
13 			2 			1024 		1.602
13 			3 			128 		2.305
13 			3 			256 		1.612
13 			3 			384 		1.723
13 			3 			512 		1.607
13 			3 			640 		1.717
13 			3 			768 		1.690
13 			3 			896 		1.593
13 			3 			1024 		1.609
13 			4 			128 		1.883
13 			4 			256 		1.681
13 			4 			384 		1.645
13 			4 			512 		1.572
13 			4 			640 		1.641
13 			4 			768 		1.513
13 			4 			896 		1.536
13 			4 			1024 		1.574
15 			1 			128 		7.118
15 			1 			256 		3.891
15 			1 			384 		2.857
15 			1 			512 		2.359
15 			1 			640 		2.048
15 			1 			768 		1.912
15 			1 			896 		1.870
15 			1 			1024 		1.830
15 			2 			128 		3.937
15 			2 			256 		2.338
15 			2 			384 		1.898
15 			2 			512 		1.933
15 			2 			640 		1.988
15 			2 			768 		1.929
15 			2 			896 		1.889
15 			2 			1024 		1.966
15 			3 			128 		2.882
15 			3 			256 		1.982
15 			3 			384 		2.075
15 			3 			512 		1.964
15 			3 			640 		2.026
15 			3 			768 		1.884
15 			3 			896 		1.907
15 			3 			1024 		1.971
15 			4 			128 		2.306
15 			4 			256 		2.021
15 			4 			384 		1.989
15 			4 			512 		1.903
15 			4 			640 		2.004
15 			4 			768 		1.812
15 			4 			896 		1.934
15 			4 			1024 		1.999
